"Date","Price","Open","High","Low","Vol.","Change %"
"01/24/2024","207.83","211.88","212.73","206.77","112.94M","-0.63%"
"01/23/2024","209.14","211.30","215.65","207.75","105.84M","0.16%"
"01/22/2024","208.80","212.26","217.80","206.27","117.95M","-1.60%"
"01/19/2024","212.19","209.99","213.19","207.56","102.26M","0.15%"
"01/18/2024","211.88","216.88","217.45","208.74","107.81M","-1.70%"
"01/17/2024","215.55","214.86","215.67","212.01","102.58M","-1.98%"
"01/16/2024","219.91","215.10","223.49","212.18","114.85M","0.47%"
"01/12/2024","218.89","220.08","225.34","217.15","123.04M","-3.67%"
"01/11/2024","227.22","230.57","230.93","225.37","105.87M","-2.87%"
"01/10/2024","233.94","235.10","235.50","231.29","91.32M","-0.43%"
"01/09/2024","234.96","238.11","238.96","232.04","96.71M","-2.28%"
"01/08/2024","240.45","236.14","241.25","235.30","85.17M","1.25%"
"01/05/2024","237.49","236.86","240.12","234.90","92.49M","-0.18%"
"01/04/2024","237.93","239.25","242.70","237.73","102.23M","-0.22%"
"01/03/2024","238.45","244.98","245.68","236.32","120.51M","-4.01%"
"01/02/2024","248.42","250.08","251.25","244.41","104.07M","-0.02%"
"12/29/2023","248.48","255.10","255.19","247.43","100.89M","-1.86%"
"12/28/2023","253.18","263.66","265.13","252.71","112.53M","-3.16%"
"12/27/2023","261.44","258.35","263.34","257.52","105.86M","1.88%"
"12/26/2023","256.61","254.49","257.97","252.91","86.64M","1.61%"
"12/22/2023","252.54","256.76","258.22","251.37","93.37M","-0.77%"
"12/21/2023","254.50","251.90","254.80","248.55","108.96M","2.98%"
"12/20/2023","247.14","256.41","259.84","247.00","124.13M","-3.92%"
"12/19/2023","257.22","253.48","258.34","253.01","106.29M","2.04%"
"12/18/2023","252.08","253.78","258.74","251.36","116.42M","-0.56%"
"12/15/2023","253.50","251.21","254.13","248.30","135.93M","0.98%"
"12/14/2023","251.05","241.22","253.88","240.79","160.12M","4.91%"
"12/13/2023","239.29","234.19","240.30","228.20","145.29M","0.96%"
"12/12/2023","237.01","238.55","238.99","233.87","94.92M","-1.14%"
"12/11/2023","239.74","242.74","243.44","237.45","97.62M","-1.68%"
"12/08/2023","243.84","240.27","245.27","239.27","103.13M","0.49%"
"12/07/2023","242.64","241.55","244.08","236.98","106.73M","1.37%"
"12/06/2023","239.37","242.92","246.57","239.17","126.44M","0.27%"
"12/05/2023","238.72","233.87","246.66","233.70","137.40M","1.33%"
"12/04/2023","235.58","235.75","239.37","233.29","103.81M","-1.36%"
"12/01/2023","238.83","233.14","240.19","231.90","121.33M","-0.52%"
"11/30/2023","240.08","245.14","245.22","236.91","129.35M","-1.66%"
"11/29/2023","244.14","249.21","252.75","242.76","134.65M","-1.05%"
"11/28/2023","246.72","236.68","247.00","234.01","147.24M","4.51%"
"11/27/2023","236.08","236.89","238.33","232.10","111.51M","0.27%"
"11/24/2023","235.45","233.75","238.75","232.33","65.03M","0.53%"
"11/22/2023","234.21","242.04","244.01","231.40","118.12M","-2.90%"
"11/21/2023","241.20","235.04","243.62","233.34","122.29M","2.38%"
"11/20/2023","235.60","234.04","237.10","231.02","116.56M","0.55%"
"11/17/2023","234.30","232.00","237.39","226.54","142.77M","0.30%"
"11/16/2023","233.59","239.49","240.88","230.96","135.46M","-3.81%"
"11/15/2023","242.84","239.29","246.70","236.45","149.64M","2.29%"
"11/14/2023","237.41","235.03","238.13","230.72","147.56M","6.12%"
"11/13/2023","223.71","215.60","225.40","211.61","138.76M","4.22%"
"11/10/2023","214.65","210.03","215.38","205.69","131.31M","2.22%"
"11/09/2023","209.98","219.75","220.80","206.68","141.30M","-5.46%"
"11/08/2023","222.11","223.15","224.15","217.64","105.60M","-0.03%"
"11/07/2023","222.18","219.98","223.12","215.72","116.02M","1.33%"
"11/06/2023","219.27","223.98","226.32","215.00","116.55M","-0.31%"
"11/03/2023","219.96","221.15","226.37","218.40","119.54M","0.66%"
"11/02/2023","218.51","212.97","219.20","211.45","124.39M","6.25%"
"11/01/2023","205.66","204.04","205.99","197.85","121.66M","2.40%"
"10/31/2023","200.84","196.12","202.80","194.07","117.59M","1.76%"
"10/30/2023","197.36","209.28","210.88","194.67","135.52M","-4.79%"
"10/27/2023","207.30","210.60","212.41","205.77","94.88M","0.75%"
"10/26/2023","205.76","211.32","214.80","204.88","113.83M","-3.14%"
"10/25/2023","212.42","215.88","220.10","212.20","105.41M","-1.89%"
"10/24/2023","216.52","216.50","222.05","214.11","117.48M","2.09%"
"10/23/2023","212.08","210.00","216.98","202.51","149.25M","0.04%"
"10/20/2023","211.99","217.01","218.86","210.42","138.01M","-3.69%"
"10/19/2023","220.11","225.95","230.61","216.78","169.09M","-9.30%"
"10/18/2023","242.68","252.70","254.63","242.08","114.65M","-4.78%"
"10/17/2023","254.85","250.10","257.18","247.08","93.30M","0.37%"
"10/16/2023","253.92","250.05","255.40","248.48","88.63M","1.12%"
"10/13/2023","251.12","258.90","259.60","250.22","102.30M","-2.99%"
"10/12/2023","258.87","262.92","265.41","256.63","111.51M","-1.57%"
"10/11/2023","262.99","266.20","268.60","260.90","103.39M","-0.24%"
"10/10/2023","263.62","257.75","268.94","257.65","122.10M","1.52%"
"10/09/2023","259.67","255.31","261.36","252.05","101.38M","-0.33%"
"10/06/2023","260.53","253.98","261.65","250.65","118.12M","0.18%"
"10/05/2023","260.05","260.00","263.60","256.25","118.78M","-0.43%"
"10/04/2023","261.16","248.14","261.86","247.60","128.88M","5.93%"
"10/03/2023","246.53","248.61","250.02","244.45","101.52M","-2.02%"
"10/02/2023","251.60","244.81","254.28","242.62","123.81M","0.55%"
"09/29/2023","250.22","250.00","254.77","246.35","128.52M","1.56%"
"09/28/2023","246.38","240.02","247.55","238.65","116.51M","2.44%"
"09/27/2023","240.50","244.26","245.33","234.58","136.06M","-1.48%"
"09/26/2023","244.12","242.98","249.55","241.66","101.53M","-1.16%"
"09/25/2023","246.99","243.38","247.10","238.31","104.09M","0.86%"
"09/22/2023","244.88","257.40","257.79","244.48","127.52M","-4.23%"
"09/21/2023","255.70","257.85","260.86","254.21","119.13M","-2.62%"
"09/20/2023","262.59","267.04","273.93","262.46","121.79M","-1.47%"
"09/19/2023","266.50","264.35","267.85","261.20","103.16M","0.46%"
"09/18/2023","265.28","271.16","271.44","263.76","100.73M","-3.32%"
"09/15/2023","274.39","277.55","278.98","271.00","133.69M","-0.60%"
"09/14/2023","276.04","271.32","276.71","270.42","107.09M","1.75%"
"09/13/2023","271.30","270.07","274.98","268.10","111.17M","1.43%"
"09/12/2023","267.48","270.76","278.39","266.60","135.44M","-2.23%"
"09/11/2023","273.58","264.27","274.85","260.61","173.39M","10.09%"
"09/08/2023","248.50","251.22","256.52","246.67","118.56M","-1.19%"
"09/07/2023","251.49","245.07","252.81","243.26","114.03M","-0.17%"
"09/06/2023","251.92","255.13","255.39","245.06","116.51M","-1.78%"
"09/05/2023","256.49","245.00","258.00","244.86","128.78M","4.69%"
"09/01/2023","245.01","257.26","259.08","242.01","132.54M","-5.06%"
"08/31/2023","258.08","255.98","261.18","255.05","108.14M","0.46%"
"08/30/2023","256.90","254.20","260.51","250.59","121.66M","-0.11%"
"08/29/2023","257.18","238.58","257.48","237.77","133.13M","7.69%"
"08/28/2023","238.82","242.58","244.38","235.35","107.29M","0.10%"
"08/25/2023","238.59","231.31","239.00","230.35","106.61M","3.72%"
"08/24/2023","230.04","238.66","238.92","228.18","99.19M","-2.88%"
"08/23/2023","236.86","229.34","238.98","229.29","98.61M","1.57%"
"08/22/2023","233.19","240.25","240.82","229.55","130.23M","0.83%"
"08/21/2023","231.28","221.55","232.13","220.58","134.51M","7.33%"
"08/18/2023","215.49","214.12","217.58","212.36","136.28M","-1.70%"
"08/17/2023","219.22","226.06","226.74","218.83","119.13M","-2.83%"
"08/16/2023","225.60","228.02","233.97","225.38","111.54M","-3.16%"
"08/15/2023","232.96","238.73","240.50","232.61","87.34M","-2.84%"
"08/14/2023","239.76","235.70","240.66","233.75","98.60M","-1.19%"
"08/11/2023","242.65","241.77","243.79","238.02","99.04M","-1.10%"
"08/10/2023","245.34","245.40","251.80","243.00","109.04M","1.30%"
"08/09/2023","242.19","250.87","251.10","241.90","99.98M","-3.01%"
"08/08/2023","249.70","247.45","250.92","245.01","96.36M","-0.70%"
"08/07/2023","251.45","251.45","253.65","242.76","111.10M","-0.95%"
"08/04/2023","253.86","260.97","264.77","253.11","99.54M","-2.11%"
"08/03/2023","259.32","252.04","260.49","252.00","96.95M","2.05%"
"08/02/2023","254.11","255.57","259.52","250.49","100.98M","-2.67%"
"08/01/2023","261.07","266.26","266.47","260.25","82.50M","-2.38%"
"07/31/2023","267.43","267.48","269.08","263.78","84.27M","0.37%"
"07/28/2023","266.44","259.86","267.25","258.23","111.45M","4.20%"
"07/27/2023","255.71","268.31","269.13","255.30","103.70M","-3.27%"
"07/26/2023","264.35","263.25","268.04","261.75","95.86M","-0.35%"
"07/25/2023","265.28","272.38","272.90","265.00","112.76M","-1.40%"
"07/24/2023","269.06","255.85","269.85","254.12","137.01M","3.48%"
"07/21/2023","260.02","268.00","268.00","255.80","161.80M","-1.10%"
"07/20/2023","262.90","279.56","280.93","261.20","175.16M","-9.74%"
"07/19/2023","291.26","296.04","299.29","289.52","142.36M","-0.71%"
"07/18/2023","293.34","290.15","295.26","286.01","111.59M","1.02%"
"07/17/2023","290.38","286.63","292.23","283.57","130.18M","3.20%"
"07/14/2023","281.38","277.01","285.30","276.31","120.06M","1.25%"
"07/13/2023","277.90","274.59","279.45","270.60","112.68M","2.17%"
"07/12/2023","271.99","276.32","276.52","271.46","95.67M","0.82%"
"07/11/2023","269.79","268.65","270.90","266.37","91.97M","0.07%"
"07/10/2023","269.61","276.47","277.52","265.10","119.43M","-1.76%"
"07/07/2023","274.43","278.43","280.78","273.77","113.88M","-0.76%"
"07/06/2023","276.54","278.09","279.97","272.88","120.71M","-2.10%"
"07/05/2023","282.48","278.82","283.85","277.60","131.53M","0.95%"
"07/03/2023","279.82","276.49","284.25","275.11","119.69M","6.90%"
"06/30/2023","261.77","260.60","264.45","259.89","112.62M","1.66%"
"06/29/2023","257.50","258.03","260.74","253.61","131.28M","0.49%"
"06/28/2023","256.24","249.70","259.88","248.89","159.77M","2.41%"
"06/27/2023","250.21","243.24","250.39","240.85","164.97M","3.80%"
"06/26/2023","241.05","250.06","258.37","240.70","179.99M","-6.06%"
"06/23/2023","256.60","259.29","262.45","252.80","177.46M","-3.03%"
"06/22/2023","264.61","250.77","265.00","248.25","166.88M","1.98%"
"06/21/2023","259.46","275.13","276.99","257.78","211.80M","-5.46%"
"06/20/2023","274.45","261.50","274.75","261.12","165.61M","5.34%"
"06/16/2023","260.54","258.92","263.60","257.21","167.92M","1.81%"
"06/15/2023","255.90","248.40","258.95","247.29","160.17M","-0.35%"
"06/14/2023","256.79","260.17","261.57","250.50","170.58M","-0.74%"
"06/13/2023","258.71","253.51","259.68","251.34","162.38M","3.55%"
"06/12/2023","249.83","247.94","250.97","244.59","150.74M","2.22%"
"06/09/2023","244.40","249.07","252.42","242.02","200.24M","4.06%"
"06/08/2023","234.86","224.22","235.23","223.01","164.49M","4.58%"
"06/07/2023","224.57","228.00","230.83","223.20","185.71M","1.47%"
"06/06/2023","221.31","216.14","221.91","212.53","146.91M","1.70%"
"06/05/2023","217.61","217.80","221.29","214.52","151.14M","1.70%"
"06/02/2023","213.97","210.15","217.25","209.75","164.40M","3.11%"
"06/01/2023","207.52","202.59","209.80","199.37","148.03M","1.76%"
"05/31/2023","203.93","199.78","203.95","195.12","150.71M","1.38%"
"05/30/2023","201.16","200.10","204.48","197.53","128.82M","4.14%"
"05/26/2023","193.17","184.62","198.60","184.53","162.06M","4.72%"
"05/25/2023","184.47","186.54","186.78","180.58","96.87M","0.86%"
"05/24/2023","182.90","182.23","184.22","178.22","137.61M","-1.54%"
"05/23/2023","185.77","186.20","192.96","185.26","156.95M","-1.64%"
"05/22/2023","188.87","180.70","189.32","180.11","132.00M","4.85%"
"05/19/2023","180.14","177.17","181.95","176.31","136.20M","1.84%"
"05/18/2023","176.89","174.22","177.06","172.45","109.52M","1.74%"
"05/17/2023","173.86","168.41","174.50","167.19","125.47M","4.41%"
"05/16/2023","166.52","165.65","169.52","164.35","98.29M","0.10%"
"05/15/2023","166.35","167.66","169.76","164.55","105.59M","-0.97%"
"05/12/2023","167.98","176.07","177.38","167.23","157.85M","-2.38%"
"05/11/2023","172.08","168.70","173.57","166.79","103.89M","2.10%"
"05/10/2023","168.54","172.55","174.43","166.68","119.84M","-0.36%"
"05/09/2023","169.15","168.95","169.82","166.56","88.97M","-1.54%"
"05/08/2023","171.79","173.72","173.80","169.19","112.25M","1.02%"
"05/05/2023","170.06","163.97","170.79","163.51","107.61M","5.50%"
"05/04/2023","161.20","162.71","162.95","159.65","95.11M","0.37%"
"05/03/2023","160.61","160.01","165.00","159.91","119.73M","0.19%"
"05/02/2023","160.31","161.88","165.49","158.93","128.26M","-0.94%"
"05/01/2023","161.83","163.17","163.28","158.83","109.02M","-1.51%"
"04/28/2023","164.31","160.90","165.00","157.32","122.52M","2.57%"
"04/27/2023","160.19","152.64","160.48","152.37","127.02M","4.19%"
"04/26/2023","153.75","160.29","160.67","153.14","153.36M","-4.31%"
"04/25/2023","160.67","159.82","163.47","158.75","122.00M","-1.16%"
"04/24/2023","162.55","164.65","165.65","158.61","140.01M","-1.53%"
"04/21/2023","165.08","164.80","166.00","161.32","123.54M","1.28%"
"04/20/2023","162.99","166.16","169.70","160.56","210.97M","-9.75%"
"04/19/2023","180.59","179.10","183.50","177.65","125.73M","-2.02%"
"04/18/2023","184.31","187.15","187.69","183.58","92.07M","-1.46%"
"04/17/2023","187.04","186.32","189.69","182.69","116.66M","1.10%"
"04/14/2023","185.00","183.95","186.28","182.01","96.44M","-0.48%"
"04/13/2023","185.90","182.96","186.50","180.94","112.93M","2.97%"
"04/12/2023","180.54","190.74","191.58","180.31","150.26M","-3.35%"
"04/11/2023","186.79","186.69","189.19","185.65","115.77M","1.24%"
"04/10/2023","184.51","179.94","185.10","176.11","142.15M","-0.30%"
"04/06/2023","185.06","183.08","186.39","179.74","123.86M","-0.25%"
"04/05/2023","185.52","190.51","190.68","183.76","133.88M","-3.67%"
"04/04/2023","192.58","197.32","198.74","190.32","126.46M","-1.12%"
"04/03/2023","194.77","199.91","202.69","192.20","169.55M","-6.12%"
"03/31/2023","207.46","197.53","207.79","197.20","170.22M","6.24%"
"03/30/2023","195.28","195.58","197.33","194.42","110.25M","0.72%"
"03/29/2023","193.88","193.13","195.29","189.44","123.66M","2.48%"
"03/28/2023","189.19","192.00","192.35","185.43","98.65M","-1.37%"
"03/27/2023","191.81","194.41","197.39","189.94","120.85M","0.74%"
"03/24/2023","190.41","191.65","192.36","187.15","116.53M","-0.94%"
"03/23/2023","192.22","195.26","199.31","188.65","144.19M","0.56%"
"03/22/2023","191.15","199.30","200.66","190.95","150.38M","-3.25%"
"03/21/2023","197.58","188.28","198.00","188.04","153.39M","7.82%"
"03/20/2023","183.25","178.08","186.44","176.35","129.68M","1.73%"
"03/17/2023","180.13","184.51","186.22","177.33","133.20M","-2.17%"
"03/16/2023","184.13","180.37","185.81","178.84","121.37M","2.04%"
"03/15/2023","180.45","180.80","182.34","176.03","146.00M","-1.53%"
"03/14/2023","183.26","177.31","183.80","177.14","143.72M","5.03%"
"03/13/2023","174.48","167.46","177.35","163.91","167.79M","0.60%"
"03/10/2023","173.44","175.13","178.29","168.44","191.49M","0.30%"
"03/09/2023","172.92","180.25","185.18","172.51","170.02M","-4.99%"
"03/08/2023","182.00","185.04","186.50","180.00","151.90M","-3.04%"
"03/07/2023","187.71","191.38","194.20","186.10","148.13M","-3.15%"
"03/06/2023","193.81","198.54","198.60","192.30","128.10M","-2.01%"
"03/03/2023","197.79","194.79","200.48","192.88","154.19M","3.61%"
"03/02/2023","190.90","186.74","193.75","186.01","181.98M","-5.85%"
"03/01/2023","202.77","206.21","207.20","198.52","156.85M","-1.43%"
"02/28/2023","205.71","210.59","211.23","203.75","153.14M","-0.92%"
"02/27/2023","207.63","202.03","209.42","201.26","161.03M","5.46%"
"02/24/2023","196.88","196.32","197.67","192.80","142.23M","-2.57%"
"02/23/2023","202.07","203.91","205.14","196.33","146.36M","0.60%"
"02/22/2023","200.86","197.93","201.99","191.78","191.83M","1.77%"
"02/21/2023","197.37","204.99","209.71","197.22","180.02M","-5.25%"
"02/17/2023","208.31","199.99","208.44","197.50","213.74M","3.10%"
"02/16/2023","202.04","210.78","217.65","201.84","229.59M","-5.69%"
"02/15/2023","214.24","211.75","214.66","206.11","182.11M","2.38%"
"02/14/2023","209.25","191.94","209.82","189.44","216.46M","7.51%"
"02/13/2023","194.64","194.41","196.30","187.61","172.48M","-1.14%"
"02/10/2023","196.89","202.22","206.20","192.89","204.75M","-5.03%"
"02/09/2023","207.32","207.78","214.00","204.77","215.43M","3.00%"
"02/08/2023","201.29","196.10","203.00","194.31","180.67M","2.28%"
"02/07/2023","196.81","196.43","197.50","189.55","186.01M","1.05%"
"02/06/2023","194.76","193.01","198.17","189.92","186.19M","2.52%"
"02/03/2023","189.98","183.95","199.00","183.69","232.66M","0.91%"
"02/02/2023","188.27","187.32","196.75","182.61","217.45M","3.78%"
"02/01/2023","181.41","173.89","183.81","169.93","213.81M","4.73%"
"01/31/2023","173.22","164.57","174.30","162.78","196.81M","3.94%"
"01/30/2023","166.66","178.05","179.77","166.50","230.88M","-6.32%"
"01/27/2023","177.90","162.43","180.68","161.17","306.59M","11.00%"
"01/26/2023","160.27","159.97","161.42","154.76","234.82M","10.97%"
"01/25/2023","144.43","141.91","146.41","138.07","192.73M","0.38%"
"01/24/2023","143.89","143.00","146.50","141.10","158.70M","0.10%"
"01/23/2023","143.75","135.87","145.38","134.27","203.12M","7.74%"
"01/20/2023","133.42","128.68","133.51","127.35","138.86M","4.91%"
"01/19/2023","127.17","127.26","129.99","124.31","170.29M","-1.25%"
"01/18/2023","128.78","136.56","136.68","127.01","195.68M","-2.06%"
"01/17/2023","131.49","125.69","131.70","125.02","186.48M","7.43%"
